"predictors","n","P.value","Shift","R2"
"annual.rain",24,0.246131417970216,-8.99495652173955,0.0606242250413972
"Jan_rain",24,0.614936678242724,-0.484043478260896,0.0116972993710681
"Feb_rain",24,0.054625153795336,2.45378260869575,0.157757165561024
"March_rain",24,0.187940232601791,-1.35334782608701,0.07743960527272
"April_rain",24,0.567541288521425,-0.515652173913087,0.0150812125498074
"May_rain",24,0.319395166485633,-1.12456521739131,0.0450497842260807
"June_rain",24,0.210004007707714,-1.46600000000011,0.070453314580218
"July_rain",24,0.0308308669859704,-2.21439130434799,0.194832043566307
"Aug_rain",24,0.276923326740541,-1.15917391304348,0.0534788630070661
"Sept_rain",24,0.32979326180031,-1.42717391304351,0.0431961120218305
"Oct_rain",24,0.874963615554946,-0.21252173913038,0.00115070665258587
"Nov_rain",24,0.819300531802173,-0.308043478260752,0.00242369302393905
"Dec_rain",24,0.42309845124803,-1.1838260869568,0.0293956863656153
"spring_rain",24,0.545611606470009,-1.94773913043464,0.0168392654095517
"summer_rain",24,0.766318753736747,0.785913043478051,0.00409852913681869
"autumn_rain",24,0.212802190782521,-2.9935652173914,0.0696259240879499
"winter_rain",24,0.0615661324942611,-4.83956521739157,0.149940163425191
"annual.mintemp",23,0.121422279455988,-0.0228969250245918,0.110375624888786
"Jan_mintemp",21,0.140655157592749,0.0613529570693825,0.110651064519417
"Feb_mintemp",21,0.420005840264934,0.0332649007361717,0.0345256103092216
"March_mintemp",21,0.0646050105841604,-0.0762921258870149,0.16844081924225
"April_mintemp",22,0.130742445612026,-0.0613112376656154,0.11045347902236
"May_mintemp",22,0.000744460201015039,-0.0919028463867256,0.441450908061915
"June_mintemp",22,0.639909123583253,-0.0165073515695019,0.011156985493481
"July_mintemp",22,0.738344281913508,-0.00976959650561265,0.00570414375887817
"Aug_mintemp",21,0.177635956300487,-0.0400047361458794,0.093509320106868
"Sept_mintemp",23,0.957740005719635,-0.00117335190429168,0.000136921754469056
"Oct_mintemp",22,0.164538027262657,-0.0332267265186342,0.094279328803053
"Nov_mintemp",21,0.344517049391317,-0.0348227792724421,0.0471303518204189
"Dec_mintemp",21,0.32818799262769,-0.0306366399176739,0.0503413829558871
"spring_mintemp",23,0.711302912192692,-0.00826914119190891,0.00665756944153197
"summer_mintemp",23,0.579652078140192,-0.0167433459002084,0.014849473666709
"autumn_mintemp",22,0.000501963235166982,-0.0973933288881001,0.462013500088641
"winter_mintemp",22,0.47868413456641,-0.0186539834139543,0.0253984288424423
"annual.maxtemp",23,0.0101685355179495,0.0484385848210762,0.275226330363265
"Jan_maxtemp",21,0.0528362951914997,0.118853192527381,0.183303306858313
"Feb_maxtemp",21,0.657857474867437,-0.0271487181434629,0.0105419043242246
"March_maxtemp",21,0.852088939673625,-0.00765591315931771,0.00187673320246611
"April_maxtemp",22,0.684126291760491,0.0200448530613162,0.00844926196193295
"May_maxtemp",22,0.314300732718605,-0.023101209817819,0.0505772732580137
"June_maxtemp",22,0.224179364738967,0.0313224350656162,0.0729314724738154
"July_maxtemp",22,0.0115746110391325,0.0511648539899083,0.27861557624023
"Aug_maxtemp",22,0.144860758315034,0.0359792750853659,0.10321711551804
"Sept_maxtemp",23,0.0178021158890878,0.0804534308998122,0.239435634629437
"Oct_maxtemp",22,0.507343420549624,0.0234991204204219,0.0222802012162052
"Nov_maxtemp",21,0.0641225096740514,0.0555564132836875,0.168996268850991
"Dec_maxtemp",21,0.0488138799819945,0.093578275883141,0.189130937690825
"spring_maxtemp",23,0.114957749238102,0.0705290390419345,0.114089595726227
"summer_maxtemp",23,0.579808138352911,0.0326449936054111,0.0148373423633265
"autumn_maxtemp",22,0.735840103271397,0.0200864252266636,0.00581777325022447
"winter_maxtemp",22,0.177672290038707,0.0303479262177366,0.088924735991733
