"","annual.rain","Jan_rain","Feb_rain","March_rain","April_rain","May_rain","June_rain","July_rain","Aug_rain","Sept_rain","Oct_rain","Nov_rain","Dec_rain","spring_rain","summer_rain","autumn_rain","winter_rain","annual.mintemp","Jan_mintemp","Feb_mintemp","March_mintemp","April_mintemp","May_mintemp","June_mintemp","July_mintemp","Aug_mintemp","Sept_mintemp","Oct_mintemp","Nov_mintemp","Dec_mintemp","spring_mintemp","summer_mintemp","autumn_mintemp","winter_mintemp","annual.maxtemp","Jan_maxtemp","Feb_maxtemp","March_maxtemp","April_maxtemp","May_maxtemp","June_maxtemp","July_maxtemp","Aug_maxtemp","Sept_maxtemp","Oct_maxtemp","Nov_maxtemp","Dec_maxtemp","spring_maxtemp","summer_maxtemp","autumn_maxtemp","winter_maxtemp"
"1983",830.2,54.2,13.8,55.8,49.2,87.2,69,70.6,95.4,108.2,94,111.4,21.4,313.6,89.4,192.2,235,10.1350399694546,11.458064516129,15.0892857142857,14.8193548387097,9.46,9.71935483870968,6.25333333333333,5.97741935483871,8.14516129032258,8.24333333333333,8.98387096774194,10.7551724137931,12.7161290322581,8.24333333333333,11.458064516129,9.46,5.97741935483871,19.377810486078,24.8516129032258,30.0642857142857,24.6903225806452,17.92,16.5483870967742,12.97,12.4870967741935,14.7548387096774,15.7896551724138,17.6032258064516,20.5833333333333,24.2709677419355,20.5833333333333,30.0642857142857,24.6903225806452,14.7548387096774
"1984",898,67.2,44.2,74.8,72.2,30.8,53,93.4,107.4,160.2,62.8,64,68,287,179.4,177.8,253.8,9.6616453466815,13.4161290322581,13.3310344827586,11.4064516129032,9.52,8.02258064516129,7.69333333333333,4.95161290322581,8.0741935483871,7.51,9.15483870967742,11.8466666666667,11.0129032258065,7.51,11.0129032258065,8.02258064516129,4.95161290322581,18.9569444444444,23.5032258064516,26.3,21.858064516129,19.2633333333333,17.4838709677419,14.1766666666667,12.3161290322581,14.3451612903226,14.6766666666667,19.0451612903226,22.0666666666667,22.4483870967742,22.0666666666667,26.3,21.858064516129,14.3451612903226
"1985",859.2,20.8,7.6,37,93.6,83.1,76.2,79.3,92.4,55.2,80.2,81.6,152.2,217,180.6,213.7,247.9,10.5229608682834,12.6032258064516,12.6964285714286,14.8064516129032,12.3111111111111,8.87666666666667,6.08148148148148,8,NA,6.8,8.96451612903226,11.4933333333333,13.1193548387097,6.8,12.6032258064516,8.87666666666667,6.08148148148148,19.6591925969086,24.4193548387097,25.8857142857143,26.2741935483871,22.4740740740741,17.1451612903226,13.09,12.7066666666667,14.0903225806452,15.5931034482759,19.8,21.6833333333333,22.7483870967742,21.6833333333333,25.8857142857143,26.2741935483871,14.0903225806452
"1986",756.4,36.8,25,11,86.8,109.2,52.8,125.4,54.1,51.9,79.9,31.8,91.7,163.6,153.5,207,232.3,9.7408583288853,12.0741935483871,12.7892857142857,13.5096774193548,10.1766666666667,9.32903225806452,6.75,6.74193548387097,6.57931034482759,8.14,8.77096774193548,10.21,11.8192307692308,8.14,11.8192307692308,9.32903225806452,6.57931034482759,18.8752435635987,22.7483870967742,25.775,25.858064516129,19.69,16.041935483871,12.8066666666667,12.3129032258065,14.9379310344828,15.6266666666667,17.5774193548387,20.5933333333333,22.5346153846154,20.5933333333333,25.775,25.858064516129,14.9379310344828
"1987",820.3,60.4,55,76.1,37.6,110.9,80,108,37.4,43,54.3,75,82.6,172.3,198,224.6,225.4,9.91396855995588,11.5333333333333,12.7178571428571,11.1233333333333,12.0875,9,8.92777777777778,5.26086956521739,6.49259259259259,8.77142857142857,8.70769230769231,12.0666666666667,12.2785714285714,8.70769230769231,11.5333333333333,9,5.26086956521739,19.5326335564403,24.4178571428571,26.1107142857143,21.9233333333333,21.55,16.7838709677419,15.6875,12.7862068965517,14.3793103448276,17.0448275862069,18.8407407407407,21.55,23.3172413793103,21.55,26.1107142857143,21.9233333333333,15.6875
"1988",822.3,60.6,22.4,35.4,28.4,85.7,94.8,94.3,59.8,77.7,39.9,115,108.3,232.6,191.3,149.5,248.9,10.9086080735103,15.3038461538462,13.1035714285714,13.7645161290323,11.2733333333333,10.9214285714286,8.05,7.5,8.02758620689655,8.61923076923077,9.93703703703704,11.3884615384615,13.0142857142857,8.61923076923077,13.0142857142857,10.9214285714286,7.5,20.3862046282073,28.2741935483871,25.1551724137931,25.5548387096774,22.04,17.5366666666667,14.5535714285714,13.69,14.951724137931,17.8769230769231,19.6931034482759,21.3230769230769,23.9851851851852,21.3230769230769,28.2741935483871,25.5548387096774,14.951724137931
"1989",940.2,59.2,30.6,116.5,102.8,70.4,113.4,53.2,103.4,75,134.9,28,52.8,237.9,142.6,289.7,270,9.9798712953713,13.67,14.3761904761905,15.6666666666667,11.8952380952381,10.55,5.71923076923077,5.04166666666667,5.51818181818182,8.04615384615385,9.31538461538462,NA,NA,8.04615384615385,13.67,10.55,5.04166666666667,18.9865240025675,25.462962962963,27.04,24.88,20.9923076923077,17.8772727272727,13.0384615384615,12.2,13.1260869565217,16.7296296296296,18.5185185185185,NA,NA,18.5185185185185,27.04,24.88,13.1260869565217
"1990",635.5,0,0,0,34.4,30.4,60,111.2,106.4,79.3,107.2,66.6,40,253.1,40,64.8,277.6,9.06017674676679,NA,NA,NA,10.6428571428571,9.18461538461538,6.5,7.12592592592593,6.71034482758621,7.82727272727273,9.73333333333333,11.0241379310345,12.7931034482759,7.82727272727273,12.7931034482759,9.18461538461538,6.5,17.7078881565799,NA,NA,NA,17.2428571428571,17.3185185185185,13.64,13.5928571428571,13.3032258064516,16.4961538461538,20.0166666666667,21.7107142857143,26.05,21.7107142857143,26.05,17.3185185185185,13.64
"1991",999.7,103.6,2.6,46.9,45.6,45.6,170.8,119.6,115,129.6,28,35.2,157.2,192.8,263.4,138.1,405.4,9.3981941243125,14.28,11.9925925925926,11.1933333333333,9.00714285714286,7.60833333333333,8.75172413793103,6.26896551724138,5.41290322580645,7.45925925925926,10.2275862068966,8.84545454545455,11.7310344827586,7.45925925925926,11.7310344827586,7.60833333333333,5.41290322580645,19.5237991041388,25.28,26.0444444444444,24.1103448275862,19.4185185185185,15.9416666666667,15.1357142857143,13.0896551724138,13.5483870967742,15.4,20.8724137931034,21.5,23.9444444444444,21.5,26.0444444444444,24.1103448275862,15.1357142857143
"1992",1177.8,95,36.6,45.2,62.6,107.6,74.4,73.3,81.6,186.6,135.2,178.3,101.4,500.1,233,215.4,229.3,9.50479854074056,12.1935483870968,12.6551724137931,14.3967741935484,10.7357142857143,8.64193548387097,5.88620689655172,5.79642857142857,5.92258064516129,6.68,8.68076923076923,9.26428571428571,13.2041666666667,6.68,12.1935483870968,8.64193548387097,5.79642857142857,18.8456920562135,21.6709677419355,24.4413793103448,24.8741935483871,21.0642857142857,16.3645161290323,13.2793103448276,13.375,13.2870967741935,14.0633333333333,18.9769230769231,20.0785714285714,24.6727272727273,20.0785714285714,24.6727272727273,24.8741935483871,13.375
"1993",1074.5,111,75.3,63.6,22,44,83.6,62.6,86.4,169.2,80,90.2,186.6,339.4,372.9,129.6,232.6,10.0754800218938,13.432,14.0857142857143,12.3172413793103,11.1,9.34193548387097,8.13333333333333,6.51333333333333,7.07741935483871,7.9,8.12413793103448,10.3,12.5806451612903,7.9,12.5806451612903,9.34193548387097,6.51333333333333,19.7029305930752,26.6961538461538,26.4035714285714,23.0392857142857,22.0666666666667,16.5806451612903,12.9733333333333,13.9935483870968,16.2645161290323,16.5733333333333,18.9241379310345,20.8038461538462,22.1161290322581,20.8038461538462,26.6961538461538,23.0392857142857,16.2645161290323
"1994",433.1,71.1,107.2,18.8,58.2,40.2,63.2,21.2,36.8,16.4,0,0,0,16.4,178.3,117.2,121.2,9.24926559289185,11.0904761904762,14.0785714285714,12.3384615384615,11.2344827586207,8.18275862068966,6.82692307692308,6.64827586206897,5.49677419354839,7.34666666666667,NA,NA,NA,7.34666666666667,11.0904761904762,8.18275862068966,5.49677419354839,18.7955900441996,25.8142857142857,25.7571428571429,22.5870967741935,19.8833333333333,16.2586206896552,14.18,14.5033333333333,13.4193548387097,16.7571428571429,NA,NA,NA,16.7571428571429,25.8142857142857,22.5870967741935,14.5033333333333
"1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996",293.2,0,0,0,0,0,0,0,0,149,39.6,71.8,32.8,260.4,32.8,0,0,8.93977345832185,NA,NA,NA,NA,NA,NA,NA,NA,7.65185185185185,9.59230769230769,8.84074074074074,9.6741935483871,7.65185185185185,9.6741935483871,NA,NA,19.7446211602635,NA,NA,NA,NA,NA,NA,NA,NA,16.1379310344828,20.0689655172414,20.2038461538462,22.5677419354839,20.2038461538462,22.5677419354839,NA,NA
"1997",512.8,48.2,4.2,25,29,49.4,45.8,37.2,46.4,71.2,46.4,97.4,12.6,215,65,103.4,129.4,9.37959230273496,14.4096774193548,16.368,11.025,8.76666666666667,8.42068965517241,6.32142857142857,4.12758620689655,5.5551724137931,6.38571428571429,8.90333333333333,10.4166666666667,11.8551724137931,6.38571428571429,11.8551724137931,8.42068965517241,4.12758620689655,20.2775286767778,28.0933333333333,31.1714285714286,22.9633333333333,20.8178571428571,16.0344827586207,14.3620689655172,12.4964285714286,14.0111111111111,16.2896551724138,19.6806451612903,22.5866666666667,24.8233333333333,22.5866666666667,31.1714285714286,22.9633333333333,14.3620689655172
"1998",873.8,49,76,33,36.8,78.4,114,66.6,35.2,72.6,116,102.2,94,290.8,219,148.2,215.8,9.05232818040938,14.3066666666667,12.6115384615385,11.66,8.08275862068965,8.07096774193548,6.05666666666667,4.42903225806452,5.65483870967742,8.53333333333333,8.32758620689655,8.96551724137931,11.9290322580645,8.32758620689655,11.9290322580645,8.07096774193548,4.42903225806452,19.8439983358935,27.5032258064516,26.8964285714286,24.8677419354839,18.5033333333333,16.0161290322581,13.88,12.6433333333333,15.3166666666667,18.0266666666667,18.6366666666667,20.9571428571429,24.8806451612903,20.9571428571429,27.5032258064516,24.8677419354839,15.3166666666667
