species,lon,lat,yearday,FFD
Comesperma volubile,145.415,37.996,1983,NA
Comesperma volubile,145.415,37.996,1984,279.2265193
Comesperma volubile,145.415,37.996,1985,283.0939227
Comesperma volubile,145.415,37.996,1986,262.9281768
Comesperma volubile,145.415,37.996,1987,283.0939227
Comesperma volubile,145.415,37.996,1988,266.1049724
Comesperma volubile,145.415,37.996,1989,250.9116022
Comesperma volubile,145.415,37.996,1990,NA
Comesperma volubile,145.415,37.996,1991,262.9281768
Comesperma volubile,145.415,37.996,1992,275.0828729
Comesperma volubile,145.415,37.996,1993,266.9337017
Comesperma volubile,145.415,37.996,1994,257.8176796
Comesperma volubile,145.415,37.996,1995,258.9226519
Comesperma volubile,145.415,37.996,1996,258.9226519
Comesperma volubile,145.415,37.996,1997,284.7513812
Comesperma volubile,145.415,37.996,1998,252.2928177
Comesperma volubile,145.415,37.996,1999,262.9281768
Comesperma volubile,145.415,37.996,2000,271.0773481
Comesperma volubile,145.415,37.996,2001,257.8176796
Comesperma volubile,145.415,37.996,2002,260.9944751
Comesperma volubile,145.415,37.996,2003,257.4033149
Comesperma volubile,145.415,37.996,2004,NA
Comesperma volubile,145.415,37.996,2005,266.1049724
Comesperma volubile,145.415,37.996,2006,251.7403315
Ranunculus lappaceus,145.415,37.996,1983,277.2727273
Ranunculus lappaceus,145.415,37.996,1984,311.9834711
Ranunculus lappaceus,145.415,37.996,1985,274.862259
Ranunculus lappaceus,145.415,37.996,1986,NA
Ranunculus lappaceus,145.415,37.996,1987,267.630854
Ranunculus lappaceus,145.415,37.996,1988,296.0743802
Ranunculus lappaceus,145.415,37.996,1989,277.7548209
Ranunculus lappaceus,145.415,37.996,1990,284.0220386
Ranunculus lappaceus,145.415,37.996,1991,313.4297521
Ranunculus lappaceus,145.415,37.996,1992,313.4297521
Ranunculus lappaceus,145.415,37.996,1993,NA
Ranunculus lappaceus,145.415,37.996,1994,NA
Ranunculus lappaceus,145.415,37.996,1995,242.0798898
Ranunculus lappaceus,145.415,37.996,1996,215.5647383
Ranunculus lappaceus,145.415,37.996,1997,255.5785124
Ranunculus lappaceus,145.415,37.996,1998,248.8292011
Ranunculus lappaceus,145.415,37.996,1999,261.84573
Ranunculus lappaceus,145.415,37.996,2000,257.9889807
Ranunculus lappaceus,145.415,37.996,2001,230.5096419
Ranunculus lappaceus,145.415,37.996,2002,278.2369146
Ranunculus lappaceus,145.415,37.996,2003,237.2589532
Ranunculus lappaceus,145.415,37.996,2004,229.5454545
Ranunculus lappaceus,145.415,37.996,2005,254.6143251
Ranunculus lappaceus,145.415,37.996,2006,156.7493113
Microtis unifolia,145.415,37.996,1983,312.8985507
Microtis unifolia,145.415,37.996,1984,298.6956522
Microtis unifolia,145.415,37.996,1985,288.2608696
Microtis unifolia,145.415,37.996,1986,315.2173913
Microtis unifolia,145.415,37.996,1987,306.2318841
Microtis unifolia,145.415,37.996,1988,308.8405797
Microtis unifolia,145.415,37.996,1989,313.1884058
Microtis unifolia,145.415,37.996,1990,305.6521739
Microtis unifolia,145.415,37.996,1991,324.2028986
Microtis unifolia,145.415,37.996,1992,324.4927536
Microtis unifolia,145.415,37.996,1993,318.9855072
Microtis unifolia,145.415,37.996,1994,349.4202899
Microtis unifolia,145.415,37.996,1995,325.6521739
Microtis unifolia,145.415,37.996,1996,334.6376812
Microtis unifolia,145.415,37.996,1997,335.5072464
Microtis unifolia,145.415,37.996,1998,313.7681159
Microtis unifolia,145.415,37.996,1999,NA
Microtis unifolia,145.415,37.996,2000,308.5507246
Microtis unifolia,145.415,37.996,2001,310
Microtis unifolia,145.415,37.996,2002,NA
Microtis unifolia,145.415,37.996,2003,335.7971014
Microtis unifolia,145.415,37.996,2004,345.3623188
Microtis unifolia,145.415,37.996,2005,345.6521739
Microtis unifolia,145.415,37.996,2006,292.3188406
Helichrysum scorpioides,145.415,37.996,1983,259.8519878
Helichrysum scorpioides,145.415,37.996,1984,233.6809377
Helichrysum scorpioides,145.415,37.996,1985,NA
Helichrysum scorpioides,145.415,37.996,1986,235.9437938
Helichrysum scorpioides,145.415,37.996,1987,240.1817474
Helichrysum scorpioides,145.415,37.996,1988,NA
Helichrysum scorpioides,145.415,37.996,1989,NA
Helichrysum scorpioides,145.415,37.996,1990,258.1254355
Helichrysum scorpioides,145.415,37.996,1991,273.8085741
Helichrysum scorpioides,145.415,37.996,1992,293.0855251
Helichrysum scorpioides,145.415,37.996,1993,273.7803173
Helichrysum scorpioides,145.415,37.996,1994,NA
Helichrysum scorpioides,145.415,37.996,1995,287.1602328
Helichrysum scorpioides,145.415,37.996,1996,304.8023221
Helichrysum scorpioides,145.415,37.996,1997,295.9608056
Helichrysum scorpioides,145.415,37.996,1998,291.6992085
Helichrysum scorpioides,145.415,37.996,1999,NA
Helichrysum scorpioides,145.415,37.996,2000,280.2280733
Helichrysum scorpioides,145.415,37.996,2001,292.9673076
Helichrysum scorpioides,145.415,37.996,2002,308.6487162
Helichrysum scorpioides,145.415,37.996,2003,320.0806378
Helichrysum scorpioides,145.415,37.996,2004,318.7600617
Helichrysum scorpioides,145.415,37.996,2005,313.5152409
Helichrysum scorpioides,145.415,37.996,2006,271.3225464
