"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"12","depth + percent_cover + predatory_fish",4,148.91068654068,0,1,0.33230321795856,-69.8303432703402,0.33230321795856
"9","turbidity + depth + percent_cover + predatory_fish",5,149.035662912378,0.124976371697556,0.939424161247019,0.312173671810405,-68.5500895207051,0.644476889768965
"14","percent_cover + predatory_fish",3,150.86150307647,1.9508165357901,0.377038389466377,0.12529107011359,-72.0671151745989,0.769767959882554
"5","salinity + turbidity + depth + percent_cover + predatory_fish",6,151.898446249693,2.98775970901244,0.224499936532424,0.074602051341217,-68.5492231248464,0.844370011223771
"11","depth + percent_cover",3,151.93187997837,3.02119343768948,0.220778196134799,0.0733653050306796,-72.6023036255485,0.917735316254451
"8","turbidity + depth + percent_cover",4,152.385849833507,3.47516329282715,0.175945384681063,0.058467217514474,-71.5679249167537,0.976202533768925
"4","salinity + turbidity + depth + percent_cover",5,154.992901535112,6.08221499443155,0.0477819418123836,0.0158780930245637,-71.5287088320721,0.992080626793489
"13","percent_cover",2,156.403414645248,7.49272810456807,0.0236034107925791,0.00784348936117183,-76.0252367343889,0.99992411615466
"15","predatory_fish",2,167.144815252494,18.234128711814,0.000109776469415119,3.64790740427735e-05,-81.3959370380119,0.999960595228703
"10","depth",2,168.901768654208,19.9910821135276,4.56028174684508e-05,1.5153962992743e-05,-82.2744137388687,0.999975749191696
"7","turbidity + depth",3,170.123462774531,21.212776233851,2.47573506539372e-05,8.22694729043179e-06,-81.6980950236293,0.999983976138986
"6","turbidity",2,170.686261814847,21.7755752741663,1.86850347157101e-05,6.20909716369787e-06,-83.166660319188,0.99999018523615
"1","salinity",2,170.96398043657,22.05329389589,1.62625287225385e-05,5.40409062664304e-06,-83.3055196300499,0.999995589326777
"3","salinity + turbidity + depth",4,172.614096577417,23.7034100367364,7.12639530737505e-06,2.36812409308551e-06,-81.6820482887084,0.99999795745087
"2","salinity + turbidity",3,172.909895614311,23.9992090736311,6.14664264362478e-06,2.04254913011782e-06,-83.0913114435194,1
