"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"11","depth + percent_cover",3,42.6382405241644,0,1,0.273601524917638,-17.9554838984458,0.273601524917638
"12","depth + percent_cover + predatory_fish",4,42.8330374187263,0.19479689456189,0.907194464942659,0.248209789005152,-16.7915187093631,0.521811313922791
"14","percent_cover + predatory_fish",3,44.3576688376187,1.7194283134543,0.423283057641472,0.115810890042507,-18.815198055173,0.637622203965298
"8","turbidity + depth + percent_cover",4,45.0769419534605,2.43870142929612,0.295421917790627,0.0808278872016088,-17.9134709767302,0.718450091166907
"13","percent_cover",2,45.3215989997034,2.683358475539,0.261406336418682,0.0715211722672846,-20.4843289116164,0.789971263434191
"9","turbidity + depth + percent_cover + predatory_fish",5,45.3792323330732,2.74099180890881,0.253980978019646,0.0694895828862484,-16.7218742310527,0.85946084632044
"10","depth",2,46.6313280425657,3.99308751840132,0.135803843826803,0.0371561387606902,-21.1391934330476,0.89661698508113
"15","predatory_fish",2,47.4861939323129,4.84795340814848,0.088568704680875,0.0242325326606674,-21.5666263779211,0.920849517741797
"4","salinity + turbidity + depth + percent_cover",5,47.5723357756092,4.93409525144479,0.0848349541691626,0.0232109728270008,-17.8184259523207,0.944060490568798
"5","salinity + turbidity + depth + percent_cover + predatory_fish",6,48.1139353741103,5.47569484994589,0.0647094891126853,0.017704614897872,-16.6569676870551,0.96176510546667
"7","turbidity + depth",3,49.0051903759935,6.36694985182913,0.0414413988356302,0.0113384299161485,-21.1389588243604,0.973103535382818
"1","salinity",2,49.1956434833108,6.55740295914639,0.0376771496045433,0.010308525586353,-22.4213511534201,0.983412060969171
"6","turbidity",2,49.2990142985379,6.66077377437355,0.0357792598523707,0.00978926005603306,-22.4730365610337,0.993201321025205
"3","salinity + turbidity + depth",4,51.3828623175594,8.744621793395,0.0126220386123044,0.00345340901189579,-21.0664311587797,0.9966547300371
"2","salinity + turbidity",3,51.4464912492467,8.8082507250823,0.0122267957530815,0.0033452699628996,-22.359609260987,1
